route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
200-2063,200,"Carindale Heights - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/200,8DC63F,000000
200-2143,200,"Carindale Heights - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/200,8DC63F,000000
202-2063,202,"Carindale - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/202,8DC63F,000000
202-2143,202,"Carindale - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/202,8DC63F,000000
203-2063,203,"Carindale - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/203,8DC63F,000000
203-2143,203,"Carindale - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/203,8DC63F,000000
204-2063,204,"Carindale - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/204,8DC63F,000000
204-2143,204,"Carindale - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/204,8DC63F,000000
209-2063,209,"Carindale - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/209,8DC63F,000000
209-2143,209,"Carindale - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/209,8DC63F,000000
210-2063,210,"Cannon Hill - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/210,8DC63F,000000
210-2143,210,"Cannon Hill - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/210,8DC63F,000000
212-2063,212,"Carindale - City/Valley via Seven Hills",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/212,8DC63F,000000
212-2143,212,"Carindale - City/Valley via Seven Hills",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/212,8DC63F,000000
213-2063,213,"Cannon Hill - Carindale Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/213,8DC63F,000000
213-2143,213,"Cannon Hill - Carindale Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/213,8DC63F,000000
214-2063,214,"Cannon Hill - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/214,8DC63F,000000
214-2143,214,"Cannon Hill - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/214,8DC63F,000000
215-2063,215,"Carindale - City Express via Tingalpa",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/215,8DC63F,000000
215-2143,215,"Carindale - City Express via Tingalpa",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/215,8DC63F,000000
220-2063,220,"Wynnum - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/220,8DC63F,000000
220-2143,220,"Wynnum - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/220,8DC63F,000000
222-2063,222,"Carindale - City Express via Eastern Busway",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/222,8DC63F,000000
222-2143,222,"Carindale - City Express via Eastern Busway",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/222,8DC63F,000000
223-2063,223,"Wynnum Loop Clockwise",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/223,8DC63F,000000
